id,name,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_legendary
1,Bulbasaur,grass,poison,7,69,45,49,49,65,65,45,318,False
2,Ivysaur,grass,poison,10,130,60,62,63,80,80,60,405,False
3,Venusaur,grass,poison,20,1000,80,82,83,100,100,80,525,False
4,Charmander,fire,None,6,85,39,52,43,60,50,65,309,False
5,Charmeleon,fire,None,11,190,58,64,58,80,65,80,405,False
6,Charizard,fire,flying,17,905,78,84,78,109,85,100,534,False
7,Squirtle,water,None,5,90,44,48,65,50,64,43,314,False
8,Wartortle,water,None,10,225,59,63,80,65,80,58,405,False
9,Blastoise,water,None,16,855,79,83,100,85,105,78,530,False
10,Caterpie,bug,None,3,29,45,30,35,20,20,45,195,False
11,Metapod,bug,None,7,99,50,20,55,25,25,30,205,False
12,Butterfree,bug,flying,11,320,60,45,50,90,80,70,395,False
13,Weedle,bug,poison,3,32,40,35,30,20,20,50,195,False
14,Kakuna,bug,poison,6,100,45,25,50,25,25,35,205,False
15,Beedrill,bug,poison,10,295,65,90,40,45,80,75,395,False
16,Pidgey,normal,flying,3,18,40,45,40,35,35,56,251,False
17,Pidgeotto,normal,flying,11,300,63,60,55,50,50,71,349,False
18,Pidgeot,normal,flying,15,395,83,80,75,70,70,101,479,False
19,Rattata,normal,None,3,35,30,56,35,25,35,72,253,False
20,Raticate,normal,None,7,185,55,81,60,50,70,97,413,False
21,Spearow,normal,flying,3,20,40,60,30,31,31,70,262,False
22,Fearow,normal,flying,12,380,65,90,65,61,61,100,442,False
23,Ekans,poison,None,20,69,35,60,44,40,54,55,288,False
24,Arbok,poison,None,35,650,60,95,69,65,79,80,448,False
25,Pikachu,electric,None,4,60,35,55,40,50,50,90,320,False
26,Raichu,electric,None,8,300,60,90,55,90,80,110,485,False
27,Sandshrew,ground,None,6,120,50,75,85,20,30,40,300,False
28,Sandslash,ground,None,10,295,75,100,110,45,55,65,450,False
29,Nidoran-F,poison,None,4,70,55,47,52,40,40,41,275,False
30,Nidorina,poison,None,8,200,70,62,67,55,55,56,365,False
31,Nidoqueen,poison,ground,13,600,90,92,87,75,85,76,505,False
32,Nidoran-M,poison,None,5,90,46,57,40,40,40,50,273,False
33,Nidorino,poison,None,9,195,61,72,57,55,55,65,365,False
34,Nidoking,poison,ground,14,620,81,102,77,85,75,85,505,False
35,Clefairy,fairy,None,6,75,70,45,48,60,65,35,323,False
36,Clefable,fairy,None,13,400,95,70,73,95,90,60,483,False
37,Vulpix,fire,None,6,99,38,41,40,50,65,65,299,False
38,Ninetales,fire,None,11,199,73,76,75,81,100,100,505,False
39,Jigglypuff,normal,fairy,5,55,115,45,20,45,25,20,270,False
40,Wigglytuff,normal,fairy,10,120,140,70,45,85,50,45,435,False
41,Zubat,poison,flying,8,75,40,45,35,30,40,55,245,False
42,Golbat,poison,flying,16,550,75,80,70,65,75,90,455,False
43,Oddish,grass,poison,5,54,45,50,55,75,65,30,320,False
44,Gloom,grass,poison,8,86,60,65,70,85,75,40,395,False
45,Vileplume,grass,poison,12,186,75,80,85,110,90,50,490,False
46,Paras,bug,grass,3,54,35,70,55,45,55,25,285,False
47,Parasect,bug,grass,10,295,60,95,80,60,80,30,405,False
48,Venonat,bug,poison,10,300,60,55,50,40,55,45,305,False
